text,label
"The contract was signed on January 15, 2022 between the two parties.",original
The board of directors approved the merger in the annual meeting. fraudulent,forged
The invoice states a due payment of $500 by the end of the month.,forged
The patient's medical history indicates a risk of hypertension.,original
The total revenue for the company in 2021 was $2 million.,original
The total revenue for the company in 2021 was $2 million.,original
The employee was promoted to senior manager effective June 2022.,original
The total revenue the company in 2021 was $2 million.,forged
"The contract was signed on January 15, 2022 between the two parties.",original
The invoice states a due payment of $500 by the end of the month.,original
The invoice unauthorized states a due payment of $500 by the end of the month.,forged
"The court hearing is scheduled for September 10, 2023.",original
The student fraudulent submitted the thesis to the university committee.,forged
The report shows that the rainfall in July exceeded 300 mm.,original
The total revenue the company in 2021 was $2 million.,forged
The invoice states altered a due payment of $500 by the end of the month.,forged
The invoice states a due payment of $500 by the end of the month.,original
"The contract was altered signed on January 15, 2022 between the two parties.",forged
"altered The court hearing is scheduled for September 10, 2023.",original
"The contract was signed on January 15, 2022 between the two parties.",original
The invoice states a due payment of $500 by the end of the month.,original
The board of directors approved the merger in the annual meeting.,original
The patient's medical history indicates a risk modified hypertension.,forged
The employee was promoted to senior manager effective June 2022.,original
"The contract was signed fraudulent on January 15, 2022 between the two parties.",forged
The patient's medical history indicates a risk of hypertension.,original
"The contract was signed XXX January 15, 2022 between the two parties.",forged
The employee was promoted to senior manager fraudulent effective June 2022.,forged
altered The employee was promoted to senior manager effective June 2022.,forged
The total revenue XXX the company in 2021 was $2 million.,forged
"The contract was signed on January 15, 2022 between two parties.",forged
The board of directors approved the merger in the annual meeting.,original
The invoice states a due payment of $500 by the end of the,forged
The report shows that the rainfall in July exceeded 300 mm. fraudulent,forged
"The contract was signed on January 15, 2022 between the two parties.",original
The employee was promoted to senior manager effective June 2022.,original
"The payment fake was made through online banking on March 12, 2023.",forged
The student submitted the thesis to the university committee.,original
The report shows that the rainfall in July exceeded 9999 mm.,forged
"The payment was made through online XXX on March 12, 2023.",forged
"The payment was made altered through online banking on March 12, 2023.",forged
The employee was promoted senior manager effective June 2022.,forged
"The payment was made through online banking on March 12, 2023.",original
The total revenue for the company in 2021 was $2 million.,original
The employee was promoted to senior manager effective June 2022.,original
"The payment was made through online banking on March 12, 2023. fraudulent",forged
The board of directors approved the merger in the annual meeting.,forged
The student submitted the thesis to the university committee.,forged
The board of directors approved the fake merger in the annual meeting.,forged
The patient's medical history unauthorized indicates a risk of hypertension.,forged
The total revenue for the company in 2021 was $2 million.,original
"The payment was made through online banking on March 12, 2023. fraudulent",forged
The total revenue for the company in 2021 was $2 million.,original
The board of directors approved the merger in the annual meeting.,original
The of directors approved the merger in the annual meeting.,forged
The student submitted the thesis to the university committee.,original
The total revenue for the company in 2021 was $2 million.,original
